nome_orgao_superior,mes,ano,gasto_total_mensal
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,1,2011,73754.5
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,2,2011,97245.40000000002
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,3,2011,76210.70000000001
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,4,2011,90409.50000000001
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,5,2011,156482.87
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,6,2011,96639.37
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,7,2011,78128.25000000001
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,8,2011,131271.75
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,9,2011,304956.29
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,10,2011,86149.62
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,11,2011,234424.13999999998
GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,12,2011,492081.13
"M.DAS MULH.,DA IG.RACIAL DA JUVENT.E DIR.HUM.",3,2016,2442.9700000000003
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",1,2011,171769691.63999912
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",2,2011,124774323.67999947
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",3,2011,208275506.11000016
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",4,2011,171975396.0999997
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",5,2011,210665297.99000126
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",6,2011,654504738.0399972
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",7,2011,407760173.4200004
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",8,2011,547781735.4699997
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",9,2011,183697625.84000006
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",10,2011,214535346.1299998
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",11,2011,788577320.8200008
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",12,2011,792215502.4000039
